Wait rate;Signal diffusion;Iterations;Mean size;Mean distance;Number of cluster;Time
1.01;1;400000;58.8;38.13320315041218;10.0;5842
1.01;2;400000;58.8;39.1938996054373;10.0;5660
1.01;3;400000;62.4;21.66573133014315;10.0;5514
1.01;4;400000;73.5;24.641497631784176;8.0;5348
1.01;5;400000;59.7;25.027667943881262;10.0;5234
1.01;6;400000;84.28571428571429;34.21985542588094;7.0;5031
1.01;7;400000;118.0;21.61591893291422;5.0;4963
1.01;8;400000;74.125;23.47787537474766;8.0;4851
1.01;9;400000;74.0;21.062147714525725;8.0;4838
1.01;10;400000;53.27272727272727;17.016691845461796;11.0;4700
1.01;11;400000;55.45454545454545;30.849631177715025;11.0;4705
1.01;12;400000;73.625;24.475520385841502;8.0;4770
1.01;13;400000;45.07692307692308;32.32074346978989;13.0;4925
1.01;14;400000;65.44444444444444;33.11503174968191;9.0;4728
1.01;15;400000;58.9;33.85471471589026;10.0;4740
1.01;16;400000;46.84615384615385;23.328682785670743;13.0;4808
1.01;17;400000;97.5;30.21360446679414;6.0;4836
1.01;18;400000;58.6;27.113878743701687;10.0;4956
1.01;19;400000;60.0;23.472499578986234;10.0;4959
1.01;20;400000;65.33333333333333;26.520891489700876;9.0;4979
1.01;21;400000;73.625;40.33355570975401;8.0;4935
1.01;22;400000;73.625;22.41649708203328;8.0;5006
1.01;23;400000;67.22222222222223;19.258577278151872;9.0;5106
1.01;24;400000;55.72727272727273;34.046569080369814;11.0;5338
1.01;25;400000;68.0;25.11077532287116;9.0;5455
1.01;26;400000;65.36363636363636;22.578537217817036;11.0;5192
1.01;27;400000;53.36363636363637;30.436597207833927;11.0;5238
1.01;28;400000;73.625;25.297235933804863;8.0;5532
1.01;29;400000;73.625;16.065752457385006;8.0;5750
