Wait rate;Signal diffusion;Iterations;Mean size;Mean distance;Number of cluster;Time
1.01;2;0;9.338235294117647;23.439930499829487;68.0;0
1.01;2;50000;26.681818181818183;34.04025560227241;22.0;716
1.01;2;100000;36.8125;30.178956964273883;16.0;1424
1.01;2;150000;35.05882352941177;33.327380131485434;17.0;2113
1.01;2;200000;37.25;34.41463177472;16.0;2772
1.01;2;250000;53.54545454545455;29.602690181577014;11.0;3460
1.01;2;300000;65.22222222222223;35.416147993737574;9.0;4138
1.01;2;350000;59.1;41.325586089938895;10.0;4822
1.01;2;400000;64.77777777777777;36.55738859772979;9.0;5569
1.01;2;450000;98.0;39.68211622382258;6.0;6267
