Wait rate;Signal diffusion;Iterations;Mean size;Mean distance;Number of cluster
1.001;2;400000;55.72727272727273;28.070601907214904;11.0;
1.0025;2;400000;65.11111111111111;29.107740926919117;9.0;
1.00399;2;400000;74.5;39.36884251953955;8.0;
1.00549;2;400000;59.0;38.67041052652916;11.0;
1.00698;2;400000;73.375;33.93559914810396;8.0;
1.00848;2;400000;49.5;28.190862495604563;12.0;
1.00997;2;400000;73.5;37.70073934987808;8.0;
1.01147;2;400000;54.36363636363637;32.99328504137416;11.0;
1.01296;2;400000;98.5;34.70288182235898;6.0;
1.01446;2;400000;84.0;32.040812644758205;7.0;
1.01596;2;400000;53.54545454545455;33.40886642901219;11.0;
1.01745;2;400000;84.0;39.96140249811872;7.0;
1.01895;2;400000;58.9;31.66459035676323;10.0;
1.02044;2;400000;98.0;36.3408299067056;6.0;
1.02194;2;400000;65.33333333333333;30.900500426929028;9.0;
1.02343;2;400000;74.125;38.09212804166296;8.0;
1.02493;2;400000;98.5;39.43809674264714;6.0;
1.02642;2;400000;53.36363636363637;30.048089766916114;11.0;
1.02792;2;400000;58.8;34.90653885271757;10.0;
1.02941;2;400000;83.28571428571429;39.14118658480506;7.0;
1.03091;2;400000;73.25;39.05037506908699;8.0;
1.0324;2;400000;74.0;27.032608151111294;8.0;
1.0339;2;400000;58.27272727272727;26.926821654188434;11.0;
1.03539;2;400000;97.83333333333333;37.802935272752926;6.0;
1.03689;2;400000;53.36363636363637;40.196941165224;11.0;
1.03838;2;400000;84.28571428571429;38.341996924348734;7.0;
1.03988;2;400000;76.125;34.34131421479658;8.0;
1.04137;2;400000;65.44444444444444;28.810646615460996;9.0;
1.04287;2;400000;84.57142857142857;30.726238418040573;7.0;
1.04436;2;400000;53.36363636363637;30.25580664533215;11.0;
1.04586;2;400000;62.5;23.507268047915026;10.0;
1.04735;2;400000;83.71428571428571;39.90645921508294;7.0;
1.04885;2;400000;58.8;26.410480142776493;10.0;
1.05034;2;400000;65.44444444444444;38.42699215381473;9.0;
1.05184;2;400000;65.88888888888889;38.41387843250845;9.0;
1.05333;2;400000;89.71428571428571;38.027091923605965;7.0;
1.05483;2;400000;58.9;32.8797810441367;10.0;
1.05632;2;400000;49.083333333333336;28.915644969241484;12.0;
1.05782;2;400000;59.1;30.84764917914863;10.0;
1.05931;2;400000;73.75;22.117693933292564;8.0;
1.06081;2;400000;73.625;30.94506440420334;8.0;
1.0623;2;400000;84.0;42.81576001954648;7.0;
1.0638;2;400000;73.625;41.7068000233473;8.0;
1.06529;2;400000;70.3;32.11406643618377;10.0;
1.06679;2;400000;97.83333333333333;32.073419814790434;6.0;
1.06828;2;400000;65.66666666666667;34.835412296869414;9.0;
1.06978;2;400000;59.3;34.0069011758645;10.0;
1.07127;2;400000;61.5;28.3971781880421;10.0;
1.07277;2;400000;59.2;42.205623605094;10.0;
1.07426;2;400000;54.63636363636363;32.814664271274125;11.0;
1.07576;2;400000;65.33333333333333;44.149391069287894;9.0;
1.07725;2;400000;72.625;34.5623590573047;8.0;
1.07875;2;400000;73.5;35.417451513416225;8.0;
1.08024;2;400000;63.2;38.01354803703446;10.0;
1.08174;2;400000;75.22222222222223;30.409319894320276;9.0;
1.08323;2;400000;53.27272727272727;33.524178661443045;11.0;
1.08473;2;400000;73.5;27.295200032838533;8.0;
1.08622;2;400000;49.333333333333336;22.50556375027189;12.0;
1.08772;2;400000;67.33333333333333;24.035593392518166;9.0;
1.08921;2;400000;73.25;34.2781429888195;8.0;
1.09071;2;400000;98.33333333333333;42.02676915389683;6.0;
1.0922;2;400000;73.75;30.245931251985315;8.0;
1.0937;2;400000;73.5;31.291879447301717;8.0;
1.09519;2;400000;58.9;36.62206682319891;10.0;
1.09669;2;400000;58.8;44.97021243656193;10.0;
1.09818;2;400000;84.28571428571429;32.81948812145686;7.0;
1.09968;2;400000;59.2;39.025085879435935;10.0;
1.10117;2;400000;48.916666666666664;30.89902444787501;12.0;
1.10267;2;400000;83.85714285714286;32.64414654270739;7.0;
1.10416;2;400000;98.0;40.04240420701843;6.0;
1.10566;2;400000;59.1;32.374080310888125;10.0;
1.10715;2;400000;73.5;33.68776186838768;8.0;
1.10865;2;400000;84.42857142857143;33.4832386203672;7.0;
1.11014;2;400000;65.33333333333333;31.38246924779561;9.0;
1.11164;2;400000;41.92857142857143;27.696198376950953;14.0;
1.11313;2;400000;58.9;24.5683244420666;10.0;
1.11463;2;400000;73.625;42.07985347982989;8.0;
1.11612;2;400000;58.9;37.910405740222174;10.0;
1.11762;2;400000;49.0;33.49760748806044;12.0;
1.11911;2;400000;52.63636363636363;34.54898763630973;11.0;
1.12061;2;400000;53.54545454545455;36.12723744179734;11.0;
1.1221;2;400000;53.81818181818182;31.548403430767323;11.0;
1.1236;2;400000;59.2;29.9790162182713;10.0;
1.12509;2;400000;49.083333333333336;27.03042478872423;12.0;
1.12659;2;400000;67.22222222222223;25.448061412023904;9.0;
1.12808;2;400000;84.28571428571429;32.68569919548299;7.0;
1.12958;2;400000;59.0;36.34142101973497;10.0;
1.13107;2;400000;73.75;31.259468425154285;8.0;
1.13257;2;400000;73.875;33.99437012671511;8.0;
1.13406;2;400000;83.71428571428571;37.57881328318293;7.0;
1.13556;2;400000;65.55555555555556;39.68610386232083;9.0;
1.13705;2;400000;66.0;27.47135663330342;9.0;
1.13855;2;400000;58.6;32.67973357133107;10.0;
1.14004;2;400000;45.30769230769231;36.85386935225576;13.0;
1.14154;2;400000;74.125;36.95931833313667;8.0;
1.14303;2;400000;64.88888888888889;41.98841846731932;9.0;
1.14453;2;400000;58.6;28.32842731553618;10.0;
1.14602;2;400000;52.0;29.654237752381807;12.0;
1.14752;2;400000;58.6;42.357231427197554;10.0;
1.14901;2;400000;59.0;31.572409166083766;10.0;
1.15051;2;400000;73.5;28.472889687360446;8.0;
1.152;2;400000;59.8;33.51066950512183;10.0;
1.1535;2;400000;74.125;37.28720564877933;8.0;
1.15499;2;400000;53.81818181818182;40.87661154533627;11.0;
1.15649;2;400000;65.22222222222223;37.47338579738596;9.0;
